,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist,TrackName,t_id,popularity,Target
13,0.743,https://api.spotify.com/v1/audio-analysis/2CfN6NdYxqmpBVTAcVlIOI,0.516,227034,0.183,2CfN6NdYxqmpBVTAcVlIOI,0.0,9,0.0878,-6.992,1,0.0285,77.521,4,https://api.spotify.com/v1/tracks/2CfN6NdYxqmpBVTAcVlIOI,audio_features,spotify:track:2CfN6NdYxqmpBVTAcVlIOI,0.254,Lykke Li,Love Me Like I'm Not Made Of Stone,2CfN6NdYxqmpBVTAcVlIOI,40,0
14,0.722,https://api.spotify.com/v1/audio-analysis/6ejOqrr7r2LcUDxIqZyygp,0.512,299839,0.313,6ejOqrr7r2LcUDxIqZyygp,0.0163,2,0.112,-9.528,1,0.0392,110.237,4,https://api.spotify.com/v1/tracks/6ejOqrr7r2LcUDxIqZyygp,audio_features,spotify:track:6ejOqrr7r2LcUDxIqZyygp,0.116,Nick Hakim,I Don't Know,6ejOqrr7r2LcUDxIqZyygp,54,0
15,0.0449,https://api.spotify.com/v1/audio-analysis/7JqHPO1QhAwzEiMQl2tHzr,0.345,223227,0.851,7JqHPO1QhAwzEiMQl2tHzr,0.0,2,0.203,-3.225,0,0.0956,187.989,4,https://api.spotify.com/v1/tracks/7JqHPO1QhAwzEiMQl2tHzr,audio_features,spotify:track:7JqHPO1QhAwzEiMQl2tHzr,0.255,Phantogram,Fall In Love,7JqHPO1QhAwzEiMQl2tHzr,2,0
16,0.213,https://api.spotify.com/v1/audio-analysis/4a5XE0MLRfMo7JmZFTxvR3,0.61,273080,0.698,4a5XE0MLRfMo7JmZFTxvR3,0.035,4,0.193,-8.44,0,0.0276,112.624,4,https://api.spotify.com/v1/tracks/4a5XE0MLRfMo7JmZFTxvR3,audio_features,spotify:track:4a5XE0MLRfMo7JmZFTxvR3,0.688,Real Estate,Past Lives,4a5XE0MLRfMo7JmZFTxvR3,41,0
17,0.34,https://api.spotify.com/v1/audio-analysis/4HOlfvRvdYt3vxhw3r3r9R,0.592,597403,0.711,4HOlfvRvdYt3vxhw3r3r9R,0.73,9,0.102,-9.974,0,0.043,92.989,4,https://api.spotify.com/v1/tracks/4HOlfvRvdYt3vxhw3r3r9R,audio_features,spotify:track:4HOlfvRvdYt3vxhw3r3r9R,0.192,Röyksopp,Monument,4HOlfvRvdYt3vxhw3r3r9R,42,0
18,0.943,https://api.spotify.com/v1/audio-analysis/5FYogcdPplZRTsDsohEmbG,0.412,404400,0.143,5FYogcdPplZRTsDsohEmbG,0.0596,7,0.111,-16.767,0,0.039,114.672,3,https://api.spotify.com/v1/tracks/5FYogcdPplZRTsDsohEmbG,audio_features,spotify:track:5FYogcdPplZRTsDsohEmbG,0.18,Ruth Dolores Weiss,Soger,5FYogcdPplZRTsDsohEmbG,4,0
19,0.648,https://api.spotify.com/v1/audio-analysis/7uCMqxHvDrzQkUVAz5XX6b,0.756,140853,0.367,7uCMqxHvDrzQkUVAz5XX6b,0.0,10,0.256,-10.328,1,0.0474,100.033,4,https://api.spotify.com/v1/tracks/7uCMqxHvDrzQkUVAz5XX6b,audio_features,spotify:track:7uCMqxHvDrzQkUVAz5XX6b,0.273,Ryskinder,באטמן פאקמן,7uCMqxHvDrzQkUVAz5XX6b,8,0
20,0.134,https://api.spotify.com/v1/audio-analysis/4ouHnqx22lzTZHr2hEt5aH,0.578,232760,0.513,4ouHnqx22lzTZHr2hEt5aH,0.688,1,0.106,-9.868,0,0.0301,162.015,4,https://api.spotify.com/v1/tracks/4ouHnqx22lzTZHr2hEt5aH,audio_features,spotify:track:4ouHnqx22lzTZHr2hEt5aH,0.398,Sharon Van Etten,Our Love,4ouHnqx22lzTZHr2hEt5aH,57,0
21,0.0447,https://api.spotify.com/v1/audio-analysis/067Zyh0CDMzfAC9Miazlsm,0.519,270533,0.654,067Zyh0CDMzfAC9Miazlsm,5.97e-06,1,0.103,-7.188,1,0.212,174.114,4,https://api.spotify.com/v1/tracks/067Zyh0CDMzfAC9Miazlsm,audio_features,spotify:track:067Zyh0CDMzfAC9Miazlsm,0.352,Sia,Chandelier - Four Tet Remix,067Zyh0CDMzfAC9Miazlsm,41,0
22,0.171,https://api.spotify.com/v1/audio-analysis/4Js5Q3P2esU3u3DaMA3g0Q,0.187,299600,0.311,4Js5Q3P2esU3u3DaMA3g0Q,0.191,5,0.119,-13.116,1,0.0322,89.979,3,https://api.spotify.com/v1/tracks/4Js5Q3P2esU3u3DaMA3g0Q,audio_features,spotify:track:4Js5Q3P2esU3u3DaMA3g0Q,0.172,Amir Lev,חזי ורות,4Js5Q3P2esU3u3DaMA3g0Q,8,0
23,0.425,https://api.spotify.com/v1/audio-analysis/5AXaRZEZb7wNfBzT4kJv2k,0.667,139107,0.631,5AXaRZEZb7wNfBzT4kJv2k,0.0,11,0.341,-6.338,0,0.0457,154.873,4,https://api.spotify.com/v1/tracks/5AXaRZEZb7wNfBzT4kJv2k,audio_features,spotify:track:5AXaRZEZb7wNfBzT4kJv2k,0.676,Shlomi Shaban,אילת,5AXaRZEZb7wNfBzT4kJv2k,20,0
24,0.128,https://api.spotify.com/v1/audio-analysis/5wYOD2wdOyddOfAZMqDSAH,0.584,300046,0.659,5wYOD2wdOyddOfAZMqDSAH,0.0,8,0.344,-5.094,1,0.0283,81.008,4,https://api.spotify.com/v1/tracks/5wYOD2wdOyddOfAZMqDSAH,audio_features,spotify:track:5wYOD2wdOyddOfAZMqDSAH,0.323,Shai Tsabari,המלך,5wYOD2wdOyddOfAZMqDSAH,20,0
25,0.939,https://api.spotify.com/v1/audio-analysis/04vvm1hJfBa90vsAkmUmXU,0.531,238987,0.258,04vvm1hJfBa90vsAkmUmXU,0.000503,7,0.107,-11.303,1,0.0307,146.849,3,https://api.spotify.com/v1/tracks/04vvm1hJfBa90vsAkmUmXU,audio_features,spotify:track:04vvm1hJfBa90vsAkmUmXU,0.588,Sun Kil Moon,I Can't Live Without My Mother's Love,04vvm1hJfBa90vsAkmUmXU,36,0
